Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

04:21:52 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:21:53 PM 100998   3426444    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3426445    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:53 PM 100998   3426447    0.00    0.00    0.00    0.00    0.00     6  postgres
04:21:53 PM 100998   3426448    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:53 PM 100998   3427368    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427396    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427397    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427398    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427400    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427401    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:53 PM 100998   3427402    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427404    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427405    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:53 PM 100998   3427406    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427407    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427408    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427409    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:53 PM 100998   3427410    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427412    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427413    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427414    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:53 PM 100998   3427418    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:53 PM 100998   3427420    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:53 PM 100998   3427423    0.00    0.00    0.00    0.00    0.00     5  postgres

04:21:53 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:21:54 PM 100998   3426444    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3426445    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:54 PM 100998   3426447    0.00    0.00    0.00    0.00    0.00     6  postgres
04:21:54 PM 100998   3426448    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:54 PM 100998   3427368    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427396    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427397    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427398    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427400    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427401    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:54 PM 100998   3427402    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427404    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427405    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:54 PM 100998   3427406    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427407    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427408    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427409    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:54 PM 100998   3427410    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427412    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427413    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427414    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:54 PM 100998   3427418    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:54 PM 100998   3427420    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:54 PM 100998   3427423    0.00    0.00    0.00    0.00    0.00     5  postgres

04:21:54 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:21:55 PM 100998   3426444    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3426445    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:55 PM 100998   3426447    0.00    0.00    0.00    0.00    0.00     6  postgres
04:21:55 PM 100998   3426448    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:55 PM 100998   3427368    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427396    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427397    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427398    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427400    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427401    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:55 PM 100998   3427402    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427404    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427405    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:55 PM 100998   3427406    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427407    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427408    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427409    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:55 PM 100998   3427410    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427412    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427413    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427414    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:55 PM 100998   3427418    0.00    0.00    0.00    0.00    0.00     4  postgres
04:21:55 PM 100998   3427420    0.00    0.00    0.00    0.00    0.00     5  postgres
04:21:55 PM 100998   3427423    0.00    0.00    0.00    0.00    0.00     5  postgres

04:21:55 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
