procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 390802944      0 291244    0    0     1     1    0    0  0  0 100  0  0
 2  1      0 390715520      0 349236    0    0 57648     0 9387 7099  5  0 95  0  0
 1  0      0 390606528      0 358996    0    0  9168     0 9591 6198  3  1 96  0  0
 3  0      0 390574752      0 362236    0    0  3236     8 7539 4325  3  1 96  0  0
 4  0      0 390489856      0 368508    0    0  6472    16 5450 5033  4  0 95  0  0
 2  0      0 390468416      0 385532    0    0 18804    32 4559 6364  3  0 97  0  0
 3  0      0 390396384      0 392440    0    0 11892     4 4429 5674  3  0 97  0  0
 0  0      0 390391456      0 392852    0    0   232     0  577  471  0  0 100  0  0
33  0      0 390324544      0 395504    0    0  2316    12 7074 18100  5  0 95  0  0
61  0      0 390319136      0 395600    0    0     4    12 9737 25844  6  1 93  0  0
100  0      0 390317856      0 395608    0    0     0     4 10129 26300  7  1 92  0  0
59  0      0 390317600      0 395652    0    0    36    44 9730 26480  7  1 93  0  0
42  0      0 390316864      0 395668    0    0     8     4 10118 26319  7  1 93  0  0
88  0      0 390301472      0 395732    0    0    56    16 9575 25961  6  1 93  0  0
80  0      0 390301248      0 395828    0    0    88     0 9594 28949  6  1 93  0  0
53  0      0 390301248      0 395836    0    0     0     0 9928 27294  6  1 93  0  0
60  0      0 390301248      0 395848    0    0     0     4 10100 27816  6  1 93  0  0
59  0      0 390301504      0 395920    0    0     0    40 10502 29731  6  1 93  0  0
32  0      0 390299488      0 395948    0    0     0     4 10480 29250  6  1 93  0  0
36  0      0 390299008      0 395952    0    0     0     0 10186 30035  6  1 93  0  0
59  0      0 390299744      0 395964    0    0     0    16 10864 32264  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
69  0      0 390299744      0 395968    0    0     0     0 10897 31188  6  1 93  0  0
43  0      0 390299744      0 395980    0    0     0     4 10970 41309  6  1 93  0  0
42  0      0 390299232      0 395984    0    0     0    76 10944 30765  6  1 93  0  0
49  0      0 390297472      0 395996    0    0     0    36 11407 32481  6  1 93  0  0
53  0      0 390296480      0 396004    0    0     0     0 11450 33337  6  1 93  0  0
71  0      0 390291424      0 396012    0    0     0    16 11720 33576  6  1 93  0  0
71  0      0 390287904      0 396088    0    0    20  1876 12173 34395  6  1 93  0  0
57  0      0 390285120      0 396096    0    0     8    36 12079 35026  6  1 93  0  0
49  0      0 390284352      0 396108    0    0     0    44 12051 35542  6  1 93  0  0
47  0      0 390282336      0 396112    0    0    16     4 11927 35461  6  1 93  0  0
48  0      0 390274528      0 396124    0    0    32   208 12095 35736  6  1 93  0  0
46  0      0 390272000      0 396132    0    0     0     0 12207 35736  6  1 93  0  0
53  0      0 390269504      0 396108    0    0     0     0 12571 35974  6  1 93  0  0
43  0      0 390266976      0 396116    0    0     0     4 12711 36863  6  1 93  0  0
75  0      0 390266464      0 396124    0    0     0    44 12574 36839  6  1 93  0  0
39  0      0 390262944      0 396132    0    0     0     4 12836 37297  6  1 93  0  0
39  0      0 390263200      0 396212    0    0     0     0 13279 38340  6  1 93  0  0
58  0      0 390263936      0 396220    0    0    32   320 13055 38625  6  1 93  0  0
51  0      0 390263456      0 396228    0    0     0     0 13207 38510  6  1 93  0  0
43  0      0 390263200      0 396236    0    0     0     4 12897 38048  6  1 93  0  0
41  0      0 390263392      0 396248    0    0     0    44 13376 39764  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
56  0      0 390263040      0 396252    0    0     0     4 13095 38959  6  1 93  0  0
49  0      0 390262784      0 396268    0    0     0     0 13233 39236  6  1 93  0  0
44  0      0 390262272      0 396272    0    0     0    16 13378 39842  6  1 93  0  0
46  0      0 390260256      0 396284    0    0     0     0 13227 40151  6  1 93  0  0
73  0      0 390259744      0 396288    0    0     0     4 12980 39248  6  1 93  0  0
65  0      0 390256480      0 396368    0    0     0    40 13424 94443  6  1 93  0  0
57  0      0 390256736      0 396380    0    0     0     8 13152 39958  6  1 93  0  0
50  0      0 390256480      0 396388    0    0     0     0 13294 40294  6  1 93  0  0
53  0      0 390256032      0 396396    0    0     0    16 13244 40176  6  1 93  0  0
59  0      0 390256032      0 396404    0    0     0     0 13613 56245  6  1 93  0  0
61  0      0 390256256      0 396412    0    0     0     8 13566 143487  6  1 93  0  0
30  0      0 390255520      0 396420    0    0     0   324 13469 41428  6  1 93  0  0
49  0      0 390255008      0 396428    0    0     0   416 13852 42522  6  1 93  0  0
45  0      0 390254016      0 396440    0    0     0    16 13836 43411  6  1 93  0  0
44  0      0 390253504      0 396424    0    0     0     0 13636 65369  6  1 93  0  0
58  0      0 390253568      0 396968    0    0     0     0 14552 44596  6  1 93  0  0
50  0      0 390253056      0 396976    0    0     0     4 14051 44854  6  1 93  0  0
49  0      0 390252320      0 396984    0    0     0    60 14018 45277  6  1 93  0  0
60  0      0 390251808      0 396992    0    0     0     4 14596 46743  6  1 93  0  0
43  0      0 390251808      0 397000    0    0     0     0 15147 52396  6  1 93  0  0
49  0      0 390251808      0 397004    0    0     4    16 14692 47009  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
60  0      0 390251296      0 397004    0    0     0     0 15037 48946  6  1 93  0  0
87  0      0 390251552      0 397004    0    0     0     4 14991 49508  6  1 93  0  0
73  0      0 390234688      0 397004    0    0     0    40 15167 49950  6  1 93  0  0
57  0      0 390234464      0 397004    0    0     0     4 15474 50581  6  1 93  0  0
70  0      0 390234208      0 397072    0    0     0     0 15740 51066  6  1 93  0  0
29  0      0 390231680      0 397072    0    0     0   688 14943 49245  6  1 93  0  0
64  0      0 390230656      0 397072    0    0     0    12 15043 50983  6  1 93  0  0
56  0      0 390230176      0 397072    0    0     0     8 15484 52164  6  1 93  0  0
69  0      0 390227424      0 397156    0    0     0    44 15031 50449  6  1 93  0  0
67  0      0 390227360      0 397164    0    0     0     4 15900 55538  6  1 93  0  0
39  0      0 390225600      0 397172    0    0     0    16 15648 53653  6  1 93  0  0
68  0      0 390224864      0 397180    0    0     0     0 16215 55417  6  1 93  0  0
63  0      0 390223360      0 397188    0    0     0     0 16268 56352  6  1 93  0  0
60  0      0 390218336      0 397196    0    0     0     4 16247 55519  6  1 93  0  0
66  0      0 390218336      0 397272    0    0     0    40 16681 57089  6  2 93  0  0
41  0      0 390218080      0 397280    0    0     0     4 16610 57364  6  2 93  0  0
63  0      0 390217568      0 397288    0    0     0     0 16752 57894  6  2 93  0  0
104  0      0 390215808      0 397300    0    0     0    16 16957 59406  6  2 93  0  0
56  0      0 390214048      0 397304    0    0     0     0 16566 58894  6  2 93  0  0
77  0      0 390213920      0 397316    0    0     0     4 16815 61296  6  2 93  0  0
 3  0      0 390213440      0 397324    0    0     0   220 16932 121685  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
98  0      0 390212672      0 397332    0    0     0    52 17664 63262  6  2 93  0  0
56  0      0 390212416      0 397340    0    0     0     0 18080 64555  6  2 93  0  0
40  0      0 390211904      0 397348    0    0     0    20 17221 63851  5  2 93  0  0
60  0      0 390211680      0 397436    0    0     0     0 18704 68054  5  2 93  0  0
91  0      0 390211168      0 397440    0    0     0    56 18358 162183  5  2 93  0  0
70  0      0 390210912      0 397452    0    0     0    60 19065 71122  5  2 93  0  0
59  0      0 390209952      0 397456    0    0     0     8 19215 72096  5  2 93  0  0
76  0      0 390209824      0 397468    0    0     0     0 19610 165911  5  2 93  0  0
77  0      0 390209088      0 397472    0    0     0    16 20249 272875  5  2 93  0  0
24  0      0 390208416      0 397484    0    0     0     0 20810 344909  5  2 93  0  0
73  0      0 390207392      0 397488    0    0     0     4 19488 866333  4  3 93  0  0
35  0      0 390207136      0 397500    0    0     0    40 20344 524619  5  2 93  0  0
55  0      0 390206400      0 397508    0    0     0     4 19143 820350  4  3 93  0  0
41  0      0 390206912      0 397584    0    0     0    16 22237 329576  5  2 93  0  0
26  0      0 390205568      0 397592    0    0     0     0 21428 213306  5  2 93  0  0
54  0      0 390204320      0 397604    0    0     0    12 19594 246758  5  2 93  0  0
101  0      0 390203840      0 397612    0    0     0     8 23583 363474  5  3 93  0  0
98  0      0 390202368      0 397620    0    0     0    40 22230 1103115  4  3 93  0  0
43  0      0 390201856      0 397628    0    0     0     4 22508 335264  5  3 92  0  0
62  0      0 390201600      0 397636    0    0     0     0 23285 267883  5  3 92  0  0
58  0      0 390201600      0 397636    0    0     0    16 21407 565269  5  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
61  0      0 390200864      0 397636    0    0     0     0 22715 458470  5  3 93  0  0
102  0      0 390200384      0 397636    0    0     0     4 20406 1233707  4  3 93  0  0
58  0      0 390199616      0 397704    0    0     0    44 24147 639887  5  3 93  0  0
59  0      0 390199104      0 397704    0    0     0     4 22642 311272  5  3 93  0  0
25  0      0 390198336      0 397704    0    0     0   284 21560 700796  5  3 93  0  0
83  0      0 390197856      0 397704    0    0     0    16 22146 771893  4  3 93  0  0
57  0      0 390197344      0 397704    0    0     0     0 20649 817619  4  3 93  0  0
26  0      0 390197120      0 397704    0    0     0     4 21305 646927  5  3 93  0  0
89  0      0 390196384      0 397788    0    0     0    60 23234 444626  5  3 92  0  0
