procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 389909344      0 329644    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 389878400      0 374852    0    0 45564     0 3136 3662  0  0 100  0  0
 1  0      0 389872000      0 374916    0    0    56   968 6977 3993  0  1 99  0  0
 3  0      0 389790464      0 416020    0    0 41108     0 7168 5487  1  0 98  0  0
 2  0      0 389730048      0 431248    0    0 17052    12 5576 6751  3  0 96  0  0
 3  0      0 389689504      0 443272    0    0 16084    32 4353 5882  2  0 97  0  0
 0  0      0 389660512      0 447356    0    0  5296     4 2287 1966  2  0 98  0  0
63  0      0 389584960      0 453856    0    0  6212    28 5312 118525  2  1 98  0  0
68  0      0 389582528      0 453936    0    0    24   540 25737 830854  5  4 91  0  0
18  0      0 389579104      0 454128    0    0   208     0 22399 1580983  5  4 91  0  0
41  0      0 389579744      0 454248    0    0   196    32 24184 694078  5  3 91  0  0
 6  0      0 389578048      0 454404    0    0    20    76 21116 1074655  4  4 92  0  0
68  0      0 389582336      0 454472    0    0    84     4 22794 876350  4  4 92  0  0
30  0      0 389585760      0 454548    0    0    72    12 21186 721054  4  4 92  0  0
32  0      0 389587776      0 454652    0    0     0    16 21533 1443352  3  4 93  0  0
75  0      0 389595392      0 454660    0    0     0     0 21787 1351672  4  4 92  0  0
37  0      0 389596704      0 454672    0    0     0     4 20874 1107003  4  4 93  0  0
24  0      0 389606752      0 454676    0    0     0    40 19574 542492  4  3 93  0  0
65  0      0 389609376      0 454688    0    0    32   192 22290 1012755  4  4 93  0  0
 1  0      0 389609152      0 454692    0    0     0     0 21028 1475009  3  4 93  0  0
70  0      0 389611872      0 454704    0    0     0    16 21069 1661930  3  4 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
67  0      0 389614592      0 454740    0    0    32     0 20251 984455  4  4 92  0  0
52  0      0 389620288      0 454752    0    0     0     4 21289 706349  4  3 93  0  0
68  0      0 389617664      0 454756    0    0     0    40 21675 755732  4  3 93  0  0
40  0      0 389619552      0 457356    0    0     4     4 22244 888586  4  4 92  0  0
 1  0      0 389618656      0 457364    0    0     0     0 19604 1922317  3  4 93  0  0
64  0      0 389621312      0 457372    0    0     0    16 20099 1090810  4  4 93  0  0
37  0      0 389626080      0 457380    0    0     0     0 20984 962239  4  3 93  0  0
55  0      0 389627200      0 457388    0    0     0     4 21609 1208479  4  4 93  0  0
37  0      0 389631552      0 457400    0    0     0    44 20971 975846  4  4 93  0  0
27  0      0 389631680      0 457404    0    0     0     4 20536 1258307  3  4 93  0  0
11  0      0 389643264      0 457416    0    0     0    20 19101 1252330  3  4 93  0  0
 1  0      0 389639072      0 457424    0    0     0     0 21575 785012  4  4 92  0  0
64  0      0 389622528      0 457432    0    0     0     0 21684 1158513  4  4 93  0  0
