procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 390757696      0 396216    0    0     0    92 16143 55662  6  2 93  0  0
57  0      0 390758016      0 396216    0    0     0     0 15958 55238  6  2 93  0  0
54  0      0 390754560      0 396216    0    0     0     4 15995 95315  6  2 93  0  0
49  0      0 390752320      0 396284    0    0     0     0 16438 57480  6  2 93  0  0
49  0      0 390750080      0 396284    0    0     0     4 15764 60425  6  2 93  0  0
58  0      0 390747040      0 396372    0    0     0     0 16090 78765  5  2 93  0  0
48  0      0 390746784      0 396384    0    0     0    20 15694 68343  5  2 93  0  0
59  0      0 390746528      0 396388    0    0     0     0 16755 61184  5  2 93  0  0
56  0      0 390746016      0 396400    0    0     0     4 16913 61447  5  2 93  0  0
50  0      0 390745280      0 396408    0    0     0     0 16568 168272  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
52  0      0 390745024      0 396416    0    0     0   204 17098 71454  5  2 93  0  0
60  0      0 390744768      0 396424    0    0     0    20 17247 63666  5  2 93  0  0
70  0      0 390744320      0 396436    0    0     0     0 17478 65976  5  2 93  0  0
51  0      0 390745120      0 396516    0    0     0     0 17415 72307  5  2 93  0  0
71  0      0 390744864      0 396520    0    0     0   672 18030 68230  5  2 93  0  0
82  0      0 390745184      0 396532    0    0     0     0 17904 69459  5  2 93  0  0
17  0      0 390744992      0 396532    0    0     0     8 18024 68874  5  2 93  0  0
100  0      0 390745536      0 396532    0    0     0     0 18088 73540  5  2 93  0  0
102  0      0 390745280      0 396532    0    0     0    16 16527 545561  5  2 93  0  0
52  0      0 390745056      0 396532    0    0     0     0 18871 187692  5  2 92  0  0
96  0      0 390744064      0 396532    0    0     0     4 18689 438477  5  2 93  0  0
29  0      0 390741760      0 396532    0    0     0     0 17422 373047  5  2 93  0  0
30  0      0 390740256      0 396532    0    0     0     4 17354 939338  4  3 93  0  0
68  0      0 390740384      0 396604    0    0     0     0 18392 612884  5  3 93  0  0
34  0      0 390740384      0 396604    0    0     0    16 19557 629974  5  3 93  0  0
14  0      0 390739648      0 396604    0    0     0    56 18624 575960  5  3 93  0  0
32  0      0 390739488      0 396696    0    0     0     8 18419 776795  5  3 93  0  0
94  0      0 390739072      0 396704    0    0     0     0 19386 864132  4  3 93  0  0
69  0      0 390738592      0 396712    0    0     0     4 19261 1021083  4  3 93  0  0
62  0      0 390737824      0 396724    0    0     0   116 18811 549532  5  2 93  0  0
54  0      0 390736320      0 396728    0    0     0    68 20673 1025209  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
84  0      0 390735552      0 396740    0    0     0     0 20291 904172  4  3 93  0  0
53  0      0 390735040      0 396744    0    0     0     4 18392 1041248  4  3 93  0  0
73  0      0 390734048      0 396824    0    0     0     0 20239 985542  4  3 93  0  0
60  0      0 390733824      0 396828    0    0     0     4 17534 810670  5  3 93  0  0
47  0      0 390732576      0 396840    0    0     0    16 18978 459274  5  2 93  0  0
16  0      0 390732096      0 396848    0    0     0     0 19521 1259999  4  3 93  0  0
55  0      0 390731584      0 396848    0    0     0     0 18870 1138407  4  3 93  0  0
98  0      0 390731872      0 396848    0    0     0     4 20688 738627  4  3 93  0  0
24  0      0 390731616      0 396848    0    0     0     0 19415 450604  5  3 93  0  0
71  0      0 390730368      0 396848    0    0     0     4 21205 520294  5  3 92  0  0
84  0      0 390729856      0 396848    0    0     0     0 19352 1357752  4  3 93  0  0
46  0      0 390728640      0 396848    0    0     0   212 19630 1578702  3  4 93  0  0
66  0      0 390727936      0 396916    0    0     0     0 20926 878717  5  3 92  0  0
71  0      0 390727456      0 396916    0    0     0     4 19399 445867  5  3 93  0  0
63  0      0 390726208      0 396916    0    0     0     0 21095 575165  5  3 93  0  0
59  0      0 390725440      0 396916    0    0     0     4 20618 861229  4  3 93  0  0
22  0      0 390725216      0 397008    0    0     0     0 19623 550457  5  3 93  0  0
69  0      0 390725216      0 397016    0    0     0    16 20186 791456  4  3 93  0  0
