Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

05:35:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:35:14 PM 100998   3482105    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482106    0.00    0.00    0.00    0.00    0.00     5  postgres
05:35:14 PM 100998   3482108    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482109    0.00    0.00    0.00    0.00    0.00     5  postgres
05:35:14 PM 100998   3482185    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482190    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482191    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482192    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482193    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482194    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482195    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482208    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482209    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482210    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482211    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482213    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482214    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482215    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482217    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482219    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482220    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482223    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482224    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:14 PM 100998   3482233    0.00    0.00    0.00    0.00    0.00     4  postgres

05:35:14 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:35:15 PM 100998   3482105    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482106    0.00    0.00    0.00    0.00    0.00     5  postgres
05:35:15 PM 100998   3482108    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482109    0.00    0.00    0.00    0.00    0.00     5  postgres
05:35:15 PM 100998   3482185    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482190    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482191    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482192    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482193    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482194    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482195    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482208    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482209    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482210    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482211    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482213    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482214    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482215    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482217    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482219    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482220    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482223    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482224    0.00    0.00    0.00    0.00    0.00     4  postgres
05:35:15 PM 100998   3482233    0.00    0.00    0.00    0.00    0.00     4  postgres

05:35:15 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
