procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 390850080      0 378336    0    0     0     4 95525 342395  5  6 89  0  0
 7  0      0 390844864      0 378344    0    0     0     4 93834 345897  5  5 89  0  0
 8  0      0 390843200      0 378348    0    0     0     0 95924 343213  5  5 89  0  0
 9  0      0 390841664      0 378360    0    0     0     0 97486 341273  5  5 89  0  0
 7  0      0 390835776      0 378364    0    0     0     4 96337 344807  5  6 89  0  0
 6  0      0 390831168      0 378372    0    0     0    40 97466 349034  5  6 89  0  0
 8  0      0 390828960      0 378376    0    0     0     4 98360 345698  5  6 89  0  0
 7  0      0 390826944      0 378384    0    0     0     0 93991 346724  5  6 89  0  0
11  0      0 390826880      0 378452    0    0     0    12 94995 344964  5  6 89  0  0
 8  0      0 390821632      0 378452    0    0     0    72 95667 342951  5  5 89  0  0
 9  0      0 390819392      0 378452    0    0     0     4 96596 341285  5  5 89  0  0
 9  0      0 390815360      0 378452    0    0     0    40 95416 348506  5  6 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 390811648      0 378452    0    0     0     4 94952 350231  5  5 89  0  0
 9  0      0 390808128      0 378452    0    0     0     0 91933 362175  5  5 89  0  0
 7  0      0 390804384      0 378524    0    0     0     8 91179 361365  5  5 89  0  0
 9  0      0 390800000      0 378524    0    0     0     0 95251 341464  5  6 89  0  0
 7  0      0 390795424      0 378524    0    0     0     4 95585 351075  5  5 89  0  0
11  0      0 390795264      0 378524    0    0     0    56 95702 348007  5  5 89  0  0
 7  0      0 390794752      0 378600    0    0     0     8 96235 345729  5  6 89  0  0
 8  0      0 390791648      0 378612    0    0     0    88 95645 348707  5  5 89  0  0
 8  0      0 390785824      0 378616    0    0     0     0 95524 345271  5  5 89  0  0
 8  0      0 390784608      0 378624    0    0     0     0 98470 346041  5  6 89  0  0
 8  0      0 390781248      0 378628    0    0     0     4 94187 342688  5  5 89  0  0
 8  0      0 390777408      0 378636    0    0     0    40 91803 355554  5  5 89  0  0
 4  0      0 390774720      0 378644    0    0     0     4 93168 353033  5  5 89  0  0
 7  0      0 390772416      0 378648    0    0     0     0 95317 351421  5  6 89  0  0
10  0      0 390769760      0 378656    0    0     0     4 94907 348654  5  6 89  0  0
 8  0      0 390764352      0 378668    0    0     0     0 92769 353612  5  5 89  0  0
 7  0      0 390759328      0 378676    0    0     0    56 94173 347601  5  5 89  0  0
 8  0      0 390761216      0 378748    0    0     0   136 89268 352848  5  5 89  0  0
 8  0      0 390759456      0 378756    0    0     0     4 93907 348102  5  6 89  0  0
10  0      0 390756832      0 378764    0    0     0     0 91757 353438  5  5 89  0  0
10  0      0 390751968      0 378768    0    0     0     8 91908 352490  5  5 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 390750464      0 378776    0    0     0     0 94327 346724  5  6 89  0  0
 8  0      0 390743936      0 378848    0    0     0     4 93266 358299  5  5 89  0  0
 6  0      0 390740000      0 378860    0    0     0    44 91300 358693  5  5 89  0  0
 9  0      0 390736224      0 378864    0    0     0     4 92086 346427  5  5 89  0  0
