procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 391190464      0 286820    0    0     1     1    0    0  0  0 100  0  0
 3  0      0 391095744      0 349564    0    0 62060   860 9561 7972  5  0 94  1  0
 5  0      0 391024544      0 353952    0    0  4652     0 9488 6652  4  1 96  0  0
 4  0      0 390969344      0 358316    0    0  4220     4 10302 5375  5  1 94  0  0
 2  0      0 390949728      0 370440    0    0 13896    16 5908 6652  4  0 96  0  0
 2  0      0 390888768      0 382348    0    0 14964    32 4303 5740  2  0 97  0  0
 0  0      0 390836256      0 388376    0    0  5160     4 2821 2529  2  0 98  0  0
12  0      0 390805952      0 389776    0    0  1424   636 3469 8950  2  0 98  0  0
37  0      0 390785088      0 390884    0    0   732    12 9750 33799  6  1 93  0  0
29  0      0 390739200      0 390912    0    0    48    16 10398 25426  7  1 93  0  0
40  0      0 390737952      0 390960    0    0    40     4 10748 26700  7  1 92  0  0
91  0      0 390737216      0 390968    0    0     0    44 10619 27144  7  1 93  0  0
20  0      0 390734944      0 391032    0    0    56     4 10095 44219  6  1 93  0  0
50  0      0 390733184      0 391128    0    0    88     0 10294 27656  6  1 93  0  0
45  0      0 390713024      0 391184    0    0    16    16 11011 28462  6  1 93  0  0
54  0      0 390712768      0 391192    0    0     0     0 11074 29534  6  1 93  0  0
41  0      0 390713024      0 391272    0    0     0     4 11447 29926  6  1 93  0  0
64  0      0 390712320      0 391276    0    0     0    40 11364 30346  6  1 93  0  0
39  0      0 390711552      0 391288    0    0     0     4 11412 50065  6  1 93  0  0
53  0      0 390705312      0 391324    0    0     0    20 11305 30904  6  1 93  0  0
47  0      0 390705312      0 391332    0    0     0     0 11520 31826  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
49  0      0 390705312      0 391332    0    0     0     0 11788 55967  6  1 93  0  0
47  0      0 390704544      0 391332    0    0     0     4 11843 32889  6  1 93  0  0
51  0      0 390698240      0 391332    0    0     0    40 11605 32904  6  1 93  0  0
56  0      0 390697728      0 391332    0    0     0     4 12034 33961  6  1 93  0  0
104  0      0 390697760      0 391332    0    0     0     0 11639 157123  6  1 93  0  0
40  0      0 390697504      0 391404    0    0     0    56 12402 52065  6  1 93  0  0
48  0      0 390697856      0 391404    0    0     0    32 12287 35306  6  1 93  0  0
47  0      0 390696320      0 391404    0    0    16    52 12314 35266  6  1 93  0  0
66  0      0 390696320      0 391404    0    0     4    44 12439 36209  6  1 93  0  0
44  0      0 390697248      0 391488    0    0     0     4 12651 36711  6  1 93  0  0
43  0      0 390696480      0 391500    0    0     0     0 12612 37350  6  1 93  0  0
36  0      0 390676576      0 391508    0    0    16   208 12099 35108  6  1 93  0  0
49  0      0 390671040      0 391516    0    0     0     0 12594 502752  5  2 93  0  0
46  0      0 390669280      0 391524    0    0     0     4 12790 38373  6  1 93  0  0
25  0      0 390666496      0 391536    0    0     0    40 12476 37138  6  1 93  0  0
52  0      0 390666240      0 391612    0    0    12   728 13492 39876  6  1 93  0  0
48  0      0 390665984      0 391620    0    0     0     0 13548 40641  6  1 93  0  0
39  0      0 390664224      0 391628    0    0     8   324 13261 39756  6  1 93  0  0
52  0      0 390663232      0 391636    0    0     0     0 13412 123601  6  1 93  0  0
38  0      0 390662464      0 391644    0    0     0     4 13344 119203  6  1 93  0  0
65  0      0 390663488      0 391652    0    0     0    44 13390 40552  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 390663232      0 391652    0    0     0     4 12833 40064  6  1 93  0  0
61  0      0 390662976      0 391652    0    0     0    16 12506 39128  6  1 93  0  0
40  0      0 390662720      0 391652    0    0     0     0 12720 39853  6  1 93  0  0
54  0      0 390662464      0 391652    0    0     0     0 12673 39735  6  1 93  0  0
56  0      0 390661440      0 391720    0    0     0     4 12580 39061  6  1 93  0  0
36  0      0 390661216      0 391720    0    0     0    40 12592 40304  6  1 93  0  0
57  0      0 390661216      0 391720    0    0     0     8 12712 40425  6  1 93  0  0
42  0      0 390659936      0 391720    0    0     0     0 12865 40943  6  1 93  0  0
48  0      0 390659456      0 391720    0    0     0    16 12889 41992  6  1 93  0  0
37  0      0 390659680      0 391812    0    0     0     0 12969 42292  6  1 93  0  0
11  0      0 390658432      0 391820    0    0     0     8 13023 41957  6  1 93  0  0
45  0      0 390658176      0 391828    0    0     0    40 13453 43587  6  1 93  0  0
59  0      0 390657408      0 391836    0    0     0     4 13434 44063  6  1 93  0  0
33  0      0 390657184      0 391848    0    0     0     0 13118 42820  6  1 93  0  0
60  0      0 390657184      0 391928    0    0     0   404 13739 44798  6  1 93  0  0
72  0      0 390657408      0 391936    0    0     0   368 13921 47004  6  1 93  0  0
62  0      0 390657408      0 391944    0    0     0    20 14018 47370  6  1 93  0  0
51  0      0 390657184      0 391952    0    0     0    44 14391 49320  6  2 93  0  0
44  0      0 390655648      0 391960    0    0     0     4 14108 48107  6  1 93  0  0
41  0      0 390656672      0 391864    0    0     0    16 14448 112644  5  2 93  0  0
53  0      0 390655904      0 391868    0    0    20     0 14313 48719  6  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
53  0      0 390655968      0 391676    0    0     0     0 14635 53496  6  2 93  0  0
61  0      0 390637056      0 391676    0    0     0     4 14410 49158  6  2 93  0  0
57  0      0 390623616      0 396112    0    0  5148    64 23338 56248  6  3 91  0  0
44  0      0 390628224      0 396656    0    0    28    16 17277 52464  6  2 92  0  0
38  0      0 390625984      0 396656    0    0     0     0 14786 59861  6  2 93  0  0
45  0      0 390625728      0 396656    0    0     0    16 15103 88248  5  2 93  0  0
56  0      0 390625824      0 396656    0    0     0    12 15273 52820  6  2 93  0  0
36  0      0 390625568      0 396656    0    0     0   244 15516 54037  5  2 93  0  0
32  0      0 390625088      0 396656    0    0     0    44 15643 54499  5  2 93  0  0
41  0      0 390625696      0 397148    0    0     0     4 15622 159732  5  2 93  0  0
46  0      0 390625728      0 397156    0    0     0     0 15848 57254  5  2 93  0  0
53  0      0 390625472      0 397164    0    0     0    16 15845 56629  5  2 93  0  0
54  0      0 390624960      0 397172    0    0     0     0 16393 58771  5  2 93  0  0
32  0      0 390625984      0 397248    0    0     0   692 16178 57639  5  2 93  0  0
