procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
37  0      0 390052960      0 470588    0    0     0    16 25391 227358  5  3 92  0  0
58  0      0 390034112      0 470588    0    0     0     0 22509 226290  4  3 92  0  0
55  0      0 390037376      0 470748    0    0     0     4 23841 247040  5  3 92  0  0
35  0      0 390044448      0 470756    0    0     0    40 23038 468662  4  3 93  0  0
68  0      0 390049632      0 470764    0    0     0   284 24761 517867  4  3 92  0  0
19  0      0 390056544      0 470772    0    0     0     0 21727 218845  4  3 93  0  0
51  0      0 390057216      0 470784    0    0     0    16 23601 130982  5  3 92  0  0
33  0      0 390048288      0 470788    0    0     0     0 22252 364126  4  3 92  0  0
36  0      0 390050688      0 470800    0    0     0     4 25139 199987  5  3 92  0  0
52  0      0 390056032      0 470808    0    0     0    40 23718 108515  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  0      0 390056064      0 470816    0    0     0     4 22842 205140  5  3 92  0  0
51  0      0 390052352      0 470824    0    0     0    20 22418 159999  5  3 92  0  0
20  0      0 390060480      0 470908    0    0     0     0 22699 255815  4  3 92  0  0
25  0      0 390063616      0 470908    0    0     0     0 25154 425345  4  3 92  0  0
11  0      0 390072704      0 470908    0    0     0     8 24639 633440  4  3 93  0  0
64  0      0 390061120      0 470908    0    0     0    44 24994 290163  4  3 92  0  0
33  0      0 390037792      0 470908    0    0     0     8 23826 298313  4  3 92  0  0
50  0      0 390038976      0 470908    0    0     0    16 24129 547587  4  4 92  0  0
68  0      0 390049792      0 470908    0    0     0     0 22289 479812  4  3 93  0  0
34  0      0 390051872      0 470908    0    0     0   132 23651 162440  5  3 92  0  0
28  0      0 390062656      0 470908    0    0     0    32 23914 455110  4  3 92  0  0
23  0      0 390067200      0 470908    0    0     0    40 23118 314470  4  3 92  0  0
26  0      0 390059296      0 471412    0    0     0    16 24771 127075  5  3 92  0  0
19  0      0 390047456      0 471512    0    0     0     0 22775 563274  4  3 92  0  0
35  0      0 390051104      0 471520    0    0     0    16 24035 205602  5  3 92  0  0
10  0      0 390056416      0 471528    0    0     0     0 23094 358811  4  3 92  0  0
55  0      0 390064640      0 471536    0    0     0     8 23688 176176  4  3 92  0  0
48  0      0 390067200      0 471544    0    0     0    40 22334 984284  4  4 93  0  0
54  0      0 390072608      0 471552    0    0     0     4 22893 521650  4  3 93  0  0
12  0      0 390066080      0 471564    0    0     0     0 22712 433738  4  3 92  0  0
79  0      0 390072640      0 471568    0    0     0    16 21829 285395  4  3 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 390073024      0 471580    0    0     0     0 23174 456961  4  3 93  0  0
51  0      0 390071264      0 471656    0    0     0     4 23594 620144  4  4 92  0  0
46  0      0 390075008      0 471636    0    0     0    44 22230 1223123  4  4 93  0  0
68  0      0 390080864      0 471636    0    0     0     4 23761 159121  5  3 92  0  0
58  0      0 390074304      0 471636    0    0     0    16 22212 713331  4  3 93  0  0
