procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 391137088      0 292304    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 391090752      0 337828    0    0 46240     0 3435 4010  0  0 100  0  0
 1  0      0 391077376      0 337888    0    0    52   832 6676 3977  0  1 99  0  0
 3  0      0 391051648      0 339776    0    0  2024     0 6584 4859  2  0 98  0  0
 2  0      0 391035552      0 354592    0    0 16752    16 5195 6570  3  0 96  0  0
 2  0      0 390991104      0 364888    0    0 14864    32 4823 5757  2  0 97  0  0
 0  0      0 390942240      0 366800    0    0  1644     4 1302 1169  1  0 99  0  0
 4  0      0 390898240      0 369312    0    0  2540   632 5394 10964  3  0 97  0  0
 5  0      0 390867776      0 370500    0    0   728     4 9205 21448  6  0 93  0  0
 9  0      0 390820672      0 370508    0    0     0     0 8901 26595  6  1 93  0  0
 8  0      0 390740064      0 370524    0    0     8     4 10281 32938  7  1 93  0  0
 8  0      0 390629952      0 370548    0    0    28   120 12728 44543  7  1 92  0  0
 9  0      0 390592384      0 370616    0    0    52     4 23015 86393  6  1 92  0  0
 9  0      0 390544096      0 370624    0    0     0     4 31264 122902  7  2 92  0  0
 9  0      0 390530752      0 370628    0    0     0     8 27767 115551  6  1 92  0  0
 8  0      0 390528832      0 370704    0    0     0     0 32444 135744  6  2 92  0  0
 9  0      0 390528640      0 370712    0    0     0     4 35947 148753  6  2 92  0  0
12  0      0 390525856      0 370716    0    0     0    40 49980 180271  6  2 92  0  0
10  0      0 390524768      0 370728    0    0     0     4 42140 182486  6  2 92  0  0
11  0      0 390526112      0 370732    0    0     0     8 50437 206663  6  3 91  0  0
 8  0      0 390528064      0 370740    0    0     0    72 59385 232087  6  3 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 390523104      0 370744    0    0     0     0 62234 231170  6  4 90  0  0
 9  0      0 390521952      0 370752    0    0     0     0 58673 216571  6  3 91  0  0
10  0      0 390516704      0 370756    0    0     0    44 77014 289804  6  4 90  0  0
 8  0      0 390519360      0 370764    0    0     0     4 91499 355362  5  5 89  0  0
 8  0      0 390519488      0 372960    0    0    20   220 93768 360684  5  6 89  0  0
 8  0      0 390518592      0 373456    0    0     0    84 89214 347410  5  5 89  0  0
 8  0      0 390517760      0 373464    0    0     0     0 90318 359843  5  5 89  0  0
 7  0      0 390517344      0 373468    0    0    12    48 91152 357706  5  5 89  0  0
10  0      0 390515200      0 373476    0    0     0    44 91400 352683  5  5 89  0  0
 8  0      0 390515872      0 373480    0    0     0     4 93134 357270  5  6 89  0  0
 8  0      0 390514688      0 373456    0    0     0   540 90034 353107  5  5 89  0  0
 8  0      0 390514272      0 373464    0    0     0     8 92287 349803  5  6 89  0  0
 4  0      0 390514048      0 373468    0    0     0     0 90004 361778  5  5 90  0  0
 9  0      0 390515200      0 373480    0    0     0     4 88723 346313  5  5 89  0  0
 8  0      0 390515040      0 373552    0    0     0    40 95812 352228  5  6 89  0  0
 9  0      0 390514688      0 373560    0    0     0     4 90465 353470  5  6 89  0  0
 6  0      0 390514368      0 373564    0    0     0     8 90853 360918  5  5 89  0  0
 9  0      0 390516032      0 373572    0    0    60   308 92118 353009  5  5 89  0  0
 7  0      0 390513856      0 373576    0    0     0     0 91556 358815  5  6 89  0  0
10  0      0 390516640      0 373584    0    0     0    76 95090 347806  5  6 89  0  0
 2  0      0 390517568      0 373592    0    0     0    44 93438 352239  5  5 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 390521216      0 373596    0    0     0     4 98222 349165  5  6 89  0  0
 8  0      0 390524992      0 373612    0    0     0     8 97342 349786  5  6 89  0  0
 9  0      0 390538304      0 373616    0    0     0     0 97927 344529  5  6 89  0  0
10  0      0 390539296      0 373624    0    0     0     0 98234 355423  5  6 89  0  0
 8  0      0 390540768      0 373628    0    0     0     4 92720 360451  5  5 89  0  0
14  0      0 390543104      0 373704    0    0     0    40 90600 351884  5  5 89  0  0
 7  0      0 390540352      0 373716    0    0     0     8 90156 352113  5  5 89  0  0
 6  0      0 390537312      0 373720    0    0     0     0 90683 360631  5  5 89  0  0
 9  0      0 390540192      0 373728    0    0     0     4 92034 347681  5  5 89  0  0
