procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 391626912      0 286736    0    0     1     1    0    0  0  0 100  0  0
 2  1      0 391522240      0 348424    0    0 61600     0 8944 7452  5  0 94  1  0
 1  0      0 391446528      0 355356    0    0  6564   964 10474 7960  3  1 96  0  0
 4  0      0 391416224      0 359068    0    0  3744    12 10490 4494  5  1 95  0  0
 2  0      0 391398144      0 370184    0    0 12676     4 5597 6877  4  0 96  0  0
 0  0      0 391338976      0 382740    0    0 12780   108 3841 4589  3  0 97  0  0
 0  0      0 391293920      0 386932    0    0  9020     4 3163 4196  2  0 98  0  0
 7  0      0 391264512      0 388124    0    0  1316   876 2292 8944  2  0 98  0  0
 6  0      0 391232288      0 389552    0    0   980    80 7764 16476  6  0 94  0  0
 8  0      0 391212992      0 389716    0    0     0   460 8413 23342  6  1 93  0  0
 8  0      0 391165376      0 389812    0    0    92    32 9411 25036  7  1 93  0  0
 7  0      0 391162368      0 389824    0    0     0    44 10750 31493  7  1 92  0  0
 5  0      0 391158880      0 389880    0    0    48     4 10620 35159  6  1 93  0  0
 9  0      0 391129664      0 389976    0    0   104     0 11870 41239  6  1 93  0  0
 7  0      0 391126400      0 389984    0    0     0    16 17429 71674  6  1 92  0  0
 6  0      0 391122624      0 389992    0    0     0    76 17701 81139  6  1 92  0  0
 7  0      0 391121120      0 390004    0    0     0     4 17267 82959  6  2 93  0  0
 7  0      0 391116576      0 390008    0    0    16   228 15954 78284  6  1 93  0  0
 5  0      0 391115616      0 390020    0    0     0     8 20193 95661  6  2 92  0  0
 6  0      0 391114624      0 390092    0    0     0     0 22789 106788  6  2 92  0  0
 7  0      0 391113856      0 390104    0    0     0    16 21609 104790  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 391113152      0 390108    0    0     0     0 22859 110013  6  2 92  0  0
 6  0      0 391112768      0 390120    0    0     0     4 24356 125572  6  2 92  0  0
 6  0      0 391110432      0 390124    0    0     0    40 26593 130517  6  2 92  0  0
 6  0      0 391108832      0 390136    0    0     0     4 29402 150387  6  3 92  0  0
 5  0      0 391107968      0 390144    0    0     0    76 31926 173706  6  3 91  0  0
 9  0      0 391096032      0 390152    0    0     0    16 35574 223967  5  4 90  0  0
 9  0      0 391095360      0 390160    0    0     8    16 38391 230457  5  5 90  0  0
