Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/15/2026 	_x86_64_	(64 CPU)

02:58:53 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:58:54 PM 100998   3359243    0.00    0.00    0.00    0.00    0.00     6  postgres
02:58:54 PM 100998   3359244    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3359246    0.00    0.00    0.00    0.00    0.00     4  postgres
02:58:54 PM 100998   3359247    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360174    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360199    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360200    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360201    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360203    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360205    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360206    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360207    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360208    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360209    0.00    0.00    0.00    0.00    0.00     4  postgres
02:58:54 PM 100998   3360210    0.00    0.00    0.00    0.00    0.00     4  postgres
02:58:54 PM 100998   3360212    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360213    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360216    0.00    0.00    0.00    0.00    0.00     4  postgres
02:58:54 PM 100998   3360218    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360220    0.00    0.00    0.00    0.00    0.00     4  postgres
02:58:54 PM 100998   3360222    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360231    0.00    0.00    0.00    0.00    0.00     5  postgres
02:58:54 PM 100998   3360256    0.00    0.00    0.00    0.00    0.00     4  postgres
02:58:54 PM 100998   3360264    0.00    0.00    0.00    0.00    0.00     4  postgres

02:58:54 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:58:55 PM 100998   3359243    0.00    0.00    0.00    0.00    0.00     6  postgres
02:58:55 PM 100998   3359244    0.00    0.00    0.00    0.00    0.00     5  postgres
