procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 390283712      0 279772    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 390285504      0 326352    0    0 46888     0 3873 4194  0  0 99  0  0
 2  0      0 390286912      0 326444    0    0    48     0 6268 3337  0  0 99  0  0
 4  0      0 390271744      0 367444    0    0 41084     0 6650 5220  1  1 98  0  0
 3  0      0 390287904      0 383048    0    0 17464    16 5686 6692  3  0 96  0  0
 3  0      0 390288192      0 394780    0    0 15988    32 4271 5921  2  0 97  0  0
 0  0      0 390253184      0 399164    0    0  5156    32 2608 2265  2  0 98  0  0
42  0      0 390134528      0 405928    0    0  6480    32 7332 26266  2  1 97  0  0
18  0      0 390073856      0 408304    0    0  2260     0 27499 105821  6  4 90  0  0
25  0      0 390068800      0 408640    0    0   328     0 30905 122969  6  4 90  0  0
32  0      0 390074816      0 408864    0    0   216     4 31311 122815  5  4 92  0  0
18  0      0 390077344      0 408892    0    0    20    44 32898 125567  5  4 91  0  0
35  0      0 390081216      0 408964    0    0    68     4 30246 124577  4  4 92  0  0
34  0      0 390081472      0 408980    0    0     8     0 30676 123782  5  4 92  0  0
30  0      0 390086240      0 408984    0    0     0     8 31924 126089  5  4 91  0  0
29  0      0 390090752      0 408992    0    0     0     0 31079 122994  4  4 92  0  0
20  0      0 390095840      0 409068    0    0     0     4 31014 125113  5  4 92  0  0
35  0      0 390104448      0 409072    0    0   132    40 31337 123808  5  4 92  0  0
26  0      0 390109440      0 409216    0    0     0    12 31465 125016  5  4 92  0  0
32  0      0 390117600      0 409220    0    0     0     0 30303 122252  4  4 92  0  0
30  0      0 390125760      0 409228    0    0     0     8 29778 122162  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0      0 390129792      0 409232    0    0     0     0 30209 124676  4  4 92  0  0
28  0      0 390129664      0 409240    0    0     0     4 30295 121437  4  4 92  0  0
33  0      0 390132480      0 409244    0    0    16   228 29930 120669  4  4 92  0  0
 1  0      0 390130464      0 409252    0    0     0     4 29481 118164  4  4 92  0  0
14  0      0 390129088      0 409260    0    0     0     0 30155 122172  4  4 92  0  0
21  0      0 390132224      0 411824    0    0     4     4 30077 121299  4  4 92  0  0
20  0      0 390132928      0 411832    0    0    20  1816 31639 122932  4  4 92  0  0
24  0      0 390137856      0 411836    0    0     0     4 30717 123328  4  4 92  0  0
30  0      0 390135424      0 411844    0    0     0    44 30744 121761  4  4 92  0  0
27  0      0 390133184      0 411848    0    0     0     4 30977 121902  4  4 92  0  0
28  0      0 390132608      0 411856    0    0     0     8 31090 124883  4  4 92  0  0
25  0      0 390137440      0 411864    0    0     0     0 30372 121196  4  4 92  0  0
 9  0      0 390132160      0 411868    0    0     0     0 30495 121917  4  4 92  0  0
