procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 389990720      0 306288    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 389980128      0 351132    0    0 45136     0 3553 4006  0  0 100  0  0
 2  0      0 389982208      0 351228    0    0    56   892 6428 4031  0  0 99  0  0
 3  0      0 389955840      0 391832    0    0 41144     0 7067 5442  1  0 98  0  0
 3  0      0 389958176      0 408200    0    0 17796    12 5643 6716  3  0 96  0  0
 3  0      0 389916608      0 420104    0    0 16624    32 4462 5911  2  0 97  0  0
 0  0      0 389897472      0 423692    0    0  3144     4 1709 1307  1  0 99  0  0
 1  0      0 389764448      0 432628    0    0  8740   632 9338 35069  3  1 96  0  0
41  0      0 389762560      0 433256    0    0   548    20 27790 111134  6  4 90  0  0
26  0      0 389765248      0 433364    0    0     0     0 32524 121300  6  4 90  0  0
18  0      0 389771168      0 433440    0    0    72    80 32628 126078  4  4 92  0  0
11  0      0 389776064      0 433528    0    0   104    44 32526 128596  5  4 91  0  0
27  0      0 389785536      0 433620    0    0    60     4 31104 125844  4  4 92  0  0
 1  0      0 389788864      0 433636    0    0     8     8 32297 126265  5  4 92  0  0
23  0      0 389794048      0 433712    0    0     4     0 34443 128051  5  4 91  0  0
31  0      0 389799392      0 433752    0    0    32     0 32933 126233  4  4 92  0  0
34  0      0 389806464      0 433760    0    0     0     4 31867 128671  4  4 92  0  0
25  0      0 389814272      0 433764    0    0     0    40 31357 125607  4  4 92  0  0
26  0      0 389822016      0 433776    0    0     0    12 31229 126360  5  4 92  0  0
19  0      0 389828544      0 433812    0    0    32    80 31176 124036  4  4 92  0  0
26  0      0 389835392      0 433820    0    0     0     0 30479 123856  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 389841248      0 433824    0    0     0     0 30594 123202  4  4 92  0  0
25  0      0 389838496      0 433832    0    0     0     4 30998 125565  4  4 92  0  0
35  0      0 389840640      0 433860    0    0    24    76 29696 124513  4  4 92  0  0
38  0      0 389854176      0 435820    0    0     4    32 31009 124099  4  4 92  0  0
 1  0      0 389858336      0 435828    0    0    84     0 32232 123509  4  4 92  0  0
24  0      0 389861184      0 435920    0    0     0     4 32174 125112  4  4 92  0  0
41  0      0 389863840      0 435928    0    0     0     0 30516 122873  4  4 92  0  0
30  0      0 389856832      0 435932    0    0    32   192 29779 124807  4  4 92  0  0
21  0      0 389856384      0 435940    0    0     0    44 30383 125981  4  4 92  0  0
30  0      0 389854976      0 435944    0    0     4   524 29472 123768  4  4 92  0  0
30  0      0 389856800      0 435952    0    0     0     0 30897 123117  4  4 92  0  0
23  0      0 389856064      0 435960    0    0     0     8 33380 125842  4  4 92  0  0
30  0      0 389858752      0 435964    0    0     0     0 31204 122995  4  4 92  0  0
17  0      0 389858944      0 436044    0    0     0     4 29565 123456  4  4 92  0  0
29  0      0 389856000      0 436048    0    0     0    40 30808 126901  4  4 92  0  0
17  0      0 389854592      0 436056    0    0     0     4 29858 124362  4  4 92  0  0
28  0      0 389850944      0 436060    0    0     0     8 31245 123744  4  4 92  0  0
16  0      0 389847488      0 436068    0    0     0     0 32095 126941  4  4 92  0  0
22  0      0 389856576      0 436072    0    0    40   376 30851 124926  4  4 92  0  0
25  0      0 389858016      0 436080    0    0     0     4 29863 124217  4  4 92  0  0
29  0      0 389861024      0 436088    0    0     0    44 31211 124313  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
33  0      0 389857088      0 436096    0    0     0     4 30943 125969  4  4 92  0  0
22  0      0 389861632      0 436112    0    0     0     0 31221 124610  4  4 92  0  0
35  0      0 389859200      0 436188    0    0     0     8 30922 124315  4  4 92  0  0
29  0      0 389862656      0 436196    0    0     0     0 30925 123519  4  4 92  0  0
31  0      0 389865824      0 436200    0    0     0     8 29958 124391  4  4 92  0  0
22  0      0 389858624      0 436208    0    0     0    40 31462 126351  4  4 92  0  0
38  0      0 389860384      0 436216    0    0     0     8 31714 125094  4  4 92  0  0
31  0      0 389861344      0 436220    0    0     0     0 31270 125052  4  4 92  0  0
20  0      0 389859648      0 436228    0    0     0    84 30773 124331  4  4 92  0  0
65  0      0 389863712      0 436236    0    0     0     0 29400 114339  5  3 92  0  0
22  0      0 389853184      0 436244    0    0     0     4 30150 120886  4  4 92  0  0
37  0      0 389850560      0 436248    0    0     0   384 31252 127067  4  4 92  0  0
23  0      0 389848320      0 436324    0    0     0   404 31469 124040  4  4 92  0  0
31  0      0 389851456      0 436332    0    0     0     0 30485 123929  4  4 92  0  0
30  0      0 389848608      0 436336    0    0     0     8 30741 124729  4  4 92  0  0
26  0      0 389842880      0 436408    0    0    64     0 31175 126139  4  4 92  0  0
32  0      0 389846880      0 436620    0    0   260     4 30953 125251  4  4 92  0  0
30  0      0 389850848      0 436632    0    0     0   116 31266 124983  4  4 92  0  0
11  0      0 389847648      0 436636    0    0     0     4 31665 123504  4  4 92  0  0
33  0      0 389847808      0 436644    0    0     0     8 31958 122548  4  4 92  0  0
29  0      0 389847200      0 436648    0    0     0     0 31080 126323  5  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  0      0 389849856      0 436656    0    0     0     4 31465 124738  4  4 92  0  0
28  0      0 389842880      0 436732    0    0     0     4 31957 123792  4  4 92  0  0
23  0      0 389843008      0 436736    0    0     0    40 30975 124971  4  4 92  0  0
34  0      0 389840832      0 436744    0    0     0     4 30736 126484  4  4 92  0  0
37  0      0 389842208      0 436756    0    0     4     0 30630 124422  4  4 92  0  0
38  0      0 389842112      0 436764    0    0     0     8 30511 123251  4  3 92  0  0
40  0      0 389839040      0 436768    0    0     0     0 30580 124464  4  4 92  0  0
21  0      0 389838144      0 436776    0    0     0    92 31247 125998  4  4 92  0  0
15  0      0 389840608      0 436784    0    0     0    44 30609 124276  4  4 92  0  0
28  0      0 389842048      0 436788    0    0     0     4 31233 124475  4  4 92  0  0
25  0      0 389835712      0 436796    0    0     0     0 30659 124352  4  4 92  0  0
28  0      0 389837888      0 436872    0    0     0     4 31307 126422  4  4 92  0  0
27  0      0 389837984      0 436884    0    0     0     0 32060 123357  4  4 92  0  0
31  0      0 389833536      0 436888    0    0     0     4 30740 125020  4  4 92  0  0
31  0      0 389833056      0 436896    0    0     0    40 29677 124604  4  4 92  0  0
 1  0      0 389831904      0 436900    0    0     0     4 30753 126407  4  4 92  0  0
20  0      0 389829728      0 436844    0    0     0    84 29039 123913  4  4 92  0  0
26  0      0 389825440      0 436852    0    0     0     0 29683 124462  4  4 92  0  0
34  0      0 389826880      0 436856    0    0     0     0 30401 124705  4  4 92  0  0
24  0      0 389824000      0 436864    0    0     0     4 30971 126681  4  4 92  0  0
28  0      0 389815840      0 436872    0    0     0   156 30202 125363  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 389838880      0 437400    0    0     0    52 31714 125662  5  4 92  0  0
29  0      0 389843584      0 437404    0    0     0     0 31325 123510  4  4 92  0  0
28  0      0 389840544      0 437416    0    0     0     8 30861 127168  4  4 92  0  0
21  0      0 389845312      0 437428    0    0     0     0 30849 124373  4  4 92  0  0
26  0      0 389844288      0 437432    0    0     0     8 29304 124695  4  4 92  0  0
22  0      0 389847680      0 437440    0    0     0    44 29431 124760  4  4 92  0  0
27  0      0 389841920      0 437444    0    0     0   540 30425 124363  4  4 92  0  0
33  0      0 389843872      0 437456    0    0     0     0 30635 127471  4  4 92  0  0
26  0      0 389841728      0 437460    0    0     0     8 30338 123815  4  4 92  0  0
36  0      0 389841472      0 437468    0    0     0     0 31639 125009  4  4 92  0  0
35  0      0 389847136      0 437544    0    0     0     4 31725 124303  4  4 92  0  0
14  0      0 389835904      0 437552    0    0     0    40 30913 124551  4  4 92  0  0
26  0      0 389841120      0 437560    0    0     0     4 31512 124944  4  4 92  0  0
33  0      0 389842912      0 437564    0    0     0     0 30990 126386  4  4 92  0  0
26  0      0 389839104      0 437572    0    0     0     8 31658 124481  4  4 92  0  0
21  0      0 389848320      0 437580    0    0     0    76 33725 124535  4  4 92  0  0
21  0      0 389845824      0 437588    0    0     0    16 33430 123704  4  4 92  0  0
26  0      0 389850016      0 437592    0    0     0    40 33194 123178  4  4 92  0  0
25  0      0 389842688      0 437600    0    0     0     4 30904 124982  4  4 92  0  0
27  0      0 389842784      0 437608    0    0     0     8 31555 127156  4  4 92  0  0
21  0      0 389837600      0 437680    0    0     0     0 31874 124719  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0      0 389841056      0 437688    0    0     0     0 30272 123685  4  4 92  0  0
25  0      0 389842080      0 437692    0    0     0     4 30255 124166  4  4 92  0  0
16  0      0 389842464      0 437704    0    0     0    44 31316 124628  4  4 92  0  0
31  0      0 389836416      0 437708    0    0     0     4 30348 124975  4  4 92  0  0
30  0      0 389837632      0 437716    0    0     0     0 31620 127129  4  4 92  0  0
30  0      0 389847904      0 437720    0    0     0    84 31913 123813  4  4 92  0  0
31  0      0 389849920      0 437728    0    0     0     0 32836 123573  4  4 92  0  0
21  0      0 389850656      0 437736    0    0     0     4 31570 123862  4  4 92  0  0
16  0      0 389852896      0 437740    0    0     0    44 31428 123906  4  4 92  0  0
27  0      0 389851424      0 437816    0    0     0    24 33393 124127  4  4 92  0  0
20  0      0 389844608      0 437824    0    0     0     0 33041 124521  4  4 92  0  0
