procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 390957344      0 365140    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 390913504      0 410308    0    0 45392    20 3448 3786  0  0 100  0  0
 1  0      0 390907776      0 410432    0    0    48    40 6532 3549  0  1 99  0  0
 3  0      0 390883456      0 451092    0    0 41164     8 6946 5340  1  0 98  0  0
 3  0      0 390857024      0 466996    0    0 17256    12 5319 6421  3  0 96  0  0
 2  0      0 390778656      0 478908    0    0 16596    32 4449 6169  2  0 97  0  0
 0  0      0 390736864      0 482908    0    0  3916     4 2085 1829  1  0 98  0  0
36  0      0 390679296      0 489356    0    0  6204     0 6317 19373  2  1 97  0  0
33  0      0 390675232      0 489532    0    0   728    24 25614 106625  6  3 91  0  0
38  0      0 390678304      0 490364    0    0   188   304 25046 125984  6  3 91  0  0
29  0      0 390679296      0 490456    0    0   100     4 25946 136987  6  4 90  0  0
42  0      0 390691520      0 490520    0    0   152    44 24481 117917  5  4 91  0  0
27  0      0 390698464      0 490800    0    0   188     4 24512 115522  5  4 92  0  0
29  0      0 390696000      0 490732    0    0     8     8 24400 111679  5  3 92  0  0
 1  0      0 390679136      0 490744    0    0    72    12 25100 112793  5  4 92  0  0
13  0      0 390683776      0 490840    0    0     0     0 24855 112867  5  4 92  0  0
22  0      0 390686400      0 490848    0    0     0     4 24528 111666  5  4 92  0  0
38  0      0 390691232      0 490936    0    0     0    40 25292 117077  5  4 92  0  0
21  0      0 390696544      0 491068    0    0   108     4 24821 111016  4  4 92  0  0
 1  0      0 390700512      0 491080    0    0     0    12 24564 109702  5  4 92  0  0
29  0      0 390699552      0 491100    0    0     0     0 24436 109714  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
30  0      0 390703072      0 491116    0    0     0     0 24189 115109  5  3 92  0  0
28  0      0 390707104      0 491140    0    0     4     4 24642 113049  5  3 92  0  0
28  0      0 390704192      0 491156    0    0     0    40 24519 107004  4  3 92  0  0
27  0      0 390693152      0 491240    0    0    64   192 25453 112885  5  4 92  0  0
17  0      0 390696480      0 491260    0    0     0     0 23643 116711  4  3 92  0  0
19  0      0 390699104      0 491308    0    0     0    12 25467 114678  5  3 92  0  0
24  0      0 390702144      0 491396    0    0     8  1232 24910 113954  4  4 92  0  0
35  0      0 390701664      0 491416    0    0     4   284 25086 110149  5  4 92  0  0
31  0      0 390708800      0 491436    0    0    24   304 24015 120796  4  4 92  0  0
29  0      0 390704544      0 491424    0    0     0     4 24214 105828  4  3 92  0  0
30  0      0 390691488      0 491544    0    0    96   100 24379 119166  4  4 92  0  0
24  0      0 390697888      0 491560    0    0     0   336 23768 167384  4  4 92  0  0
27  0      0 390697856      0 491580    0    0   128     0 25023 110658  4  4 92  0  0
34  0      0 390710464      0 491756    0    0     0     4 23619 135765  4  4 92  0  0
18  0      0 390715200      0 491784    0    0     0    40 24131 115853  5  3 92  0  0
25  0      0 390721088      0 491836    0    0     0     4 24088 114190  4  3 92  0  0
35  0      0 390717376      0 491924    0    0     0     0 25344 110323  5  4 92  0  0
34  0      0 390716448      0 491948    0    0     0    12 24327 109537  4  3 92  0  0
25  0      0 390709088      0 491996    0    0     0     0 25564 113633  5  3 92  0  0
40  0      0 390706688      0 492012    0    0     0     4 24329 108650  5  3 92  0  0
25  0      0 390702752      0 492040    0    0     0    44 24614 109678  4  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  0      0 390700544      0 492052    0    0     0     4 24932 109777  5  3 92  0  0
68  0      0 390704480      0 492044    0    0     0    12 24649 108034  4  4 92  0  0
28  0      0 390704544      0 492068    0    0     0     0 25045 117911  4  4 92  0  0
31  0      0 390700544      0 492084    0    0     0     0 24489 111623  5  3 92  0  0
36  0      0 390700928      0 492072    0    0     0     8 24410 112304  5  3 92  0  0
25  0      0 390706848      0 494672    0    0     4    40 24710 114639  4  4 92  0  0
35  0      0 390704960      0 494792    0    0   100     8 25228 109486  5  3 92  0  0
23  0      0 390709760      0 494808    0    0     0     0 24339 115938  4  4 92  0  0
34  0      0 390710656      0 494828    0    0     0    12 24825 120337  5  4 92  0  0
23  0      0 390706208      0 494844    0    0     0     0 23753 118223  4  3 92  0  0
42  0      0 390709024      0 494832    0    0     0     4 24696 129416  5  4 92  0  0
24  0      0 390712672      0 494852    0    0     0    40 24109 113867  4  3 92  0  0
37  0      0 390707040      0 494872    0    0     0     4 24767 108217  4  3 92  0  0
33  0      0 390706432      0 494892    0    0     0     0 24314 124140  5  4 92  0  0
34  0      0 390703168      0 494872    0    0     0    12 24161 107235  4  3 92  0  0
30  0      0 390701856      0 494964    0    0     0     0 25037 112489  5  4 92  0  0
30  0      0 390710016      0 494984    0    0     4     4 24162 109486  4  3 92  0  0
15  0      0 390710432      0 495004    0    0     0    44 23942 110102  4  3 92  0  0
16  0      0 390696224      0 495024    0    0     0   360 24674 121654  5  4 92  0  0
33  0      0 390702400      0 495044    0    0     0   352 24089 116167  4  3 92  0  0
37  0      0 390702400      0 495056    0    0     0   164 24872 112539  5  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0      0 390705088      0 495080    0    0     0     0 24053 129804  4  3 92  0  0
21  0      0 390701952      0 495036    0    0     0     4 24986 110574  4  4 92  0  0
22  0      0 390697376      0 495048    0    0     0    40 24612 110094  4  3 92  0  0
28  0      0 390701728      0 495072    0    0     0     4 25579 117730  5  4 92  0  0
37  0      0 390709088      0 495088    0    0     0     0 24727 106551  5  4 92  0  0
35  0      0 390697216      0 495108    0    0     0    12 25118 111335  4  4 92  0  0
36  0      0 390705920      0 495196    0    0     0   664 23891 109286  4  3 92  0  0
34  0      0 390694592      0 495252    0    0     0     4 24602 107003  4  4 92  0  0
29  0      0 390687904      0 495272    0    0     0    44 25012 109279  5  4 92  0  0
11  0      0 390673728      0 495284    0    0     0     4 24600 109839  4  3 92  0  0
41  0      0 390671936      0 495340    0    0     0     0 25128 111429  5  3 92  0  0
37  0      0 390682432      0 495388    0    0     0    12 24963 108104  4  3 92  0  0
28  0      0 390677952      0 495376    0    0     0     0 25300 108255  5  4 92  0  0
30  0      0 390667200      0 495364    0    0     0     4 24703 106737  4  3 92  0  0
23  0      0 390666976      0 495448    0    0     0    40 25471 112879  5  4 92  0  0
10  0      0 390672384      0 495468    0    0     0     4 24833 106876  4  3 92  0  0
24  0      0 390675680      0 495484    0    0     0    56 25314 114414  4  4 92  0  0
26  0      0 390679168      0 495508    0    0    16     8 24646 107191  4  3 92  0  0
32  0      0 390672128      0 495524    0    0     0     0 24649 106648  4  4 92  0  0
21  0      0 390669536      0 495508    0    0     0     4 25525 110515  4  3 92  0  0
28  0      0 390674048      0 495496    0    0     0     0 25880 106738  4  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
19  0      0 390670656      0 495512    0    0     0     4 25943 108483  4  4 92  0  0
37  0      0 390664704      0 495532    0    0     0    16 25042 111448  4  3 92  0  0
20  0      0 390665088      0 495556    0    0     0     0 24759 112497  5  3 92  0  0
26  0      0 390671616      0 495644    0    0     0     0 24196 131446  4  3 92  0  0
35  0      0 390675424      0 495692    0    0     0     4 24073 148917  5  3 92  0  0
30  0      0 390679264      0 495716    0    0     0     0 23839 111553  4  3 92  0  0
 1  0      0 390673024      0 495732    0    0     0     8 25089 108193  4  3 92  0  0
32  0      0 390668736      0 495724    0    0     0   360 24330 135435  4  4 92  0  0
29  0      0 390672640      0 495744    0    0     0    40 25020 120862  4  4 92  0  0
42  0      0 390676000      0 495728    0    0     0    20 23965 112629  4  3 92  0  0
31  0      0 390678048      0 495776    0    0     0     8 24346 107377  4  3 92  0  0
 1  0      0 390673408      0 495792    0    0     0     0 24751 108807  4  4 92  0  0
17  0      0 390652288      0 495848    0    0     0     4 23680 114515  4  3 92  0  0
41  0      0 390655328      0 495868    0    0     0     0 24529 118515  5  4 92  0  0
39  0      0 390659712      0 495884    0    0     0    12 24153 115965  4  3 92  0  0
35  0      0 390662272      0 495904    0    0     0     0 25484 112638  5  3 92  0  0
32  0      0 390672256      0 495992    0    0     0     4 24220 107081  4  3 92  0  0
38  0      0 390658112      0 496044    0    0     0     0 24368 110509  4  4 92  0  0
38  0      0 390666880      0 496064    0    0     0     4 23482 110549  4  3 92  0  0
38  0      0 390672864      0 496084    0    0     0    12 23990 106508  4  3 92  0  0
23  0      0 390658880      0 496036    0    0     0     0 24488 109584  5  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 390664320      0 496028    0    0     0     0 24052 110818  4  3 92  0  0
36  0      0 390665696      0 496040    0    0     0     4 24512 110130  4  4 92  0  0
38  0      0 390671904      0 496560    0    0     0     0 24325 110687  4  4 92  0  0
33  0      0 390672480      0 496576    0    0     0   200 24550 121290  4  4 92  0  0
30  0      0 390668224      0 496596    0    0     0   672 24356 113302  4  3 92  0  0
18  0      0 390646624      0 496644    0    0     0     0 24839 109997  4  3 92  0  0
23  0      0 390656448      0 496696    0    0     0     0 24010 112556  4  4 92  0  0
 1  0      0 390645632      0 496748    0    0     0     4 24230 106641  4  3 92  0  0
19  0      0 390649440      0 496768    0    0     0     0 24999 113554  4  4 92  0  0
23  0      0 390653504      0 496784    0    0     0     4 24144 106859  4  3 92  0  0
21  0      0 390653824      0 496804    0    0     0     0 24938 119412  5  3 92  0  0
23  0      0 390656992      0 496824    0    0     0    12 24890 125556  4  4 92  0  0
25  0      0 390658496      0 496908    0    0     0     0 24171 107012  4  3 92  0  0
29  0      0 390643424      0 496928    0    0     0     4 24438 108041  4  3 92  0  0
43  0      0 390645184      0 496948    0    0     0     0 24088 119214  5  4 92  0  0
19  0      0 390651552      0 496964    0    0     0    12 23930 121934  5  3 92  0  0
18  0      0 390652128      0 496988    0    0     0   356 24555 110404  4  3 92  0  0
22  0      0 390634880      0 497004    0    0     0    36 23956 107032  5  3 92  0  0
25  0      0 390638016      0 496928    0    0     0     4 24996 112160  5  4 92  0  0
26  0      0 390643584      0 496944    0    0     0     4 24644 114690  4  3 92  0  0
16  0      0 390648096      0 497028    0    0     0     0 23994 109775  4  3 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 390645792      0 497044    0    0     0     4 25078 110132  5  4 92  0  0
25  0      0 390630112      0 497164    0    0     0     8 24859 106726  4  3 92  0  0
37  0      0 390631264      0 497188    0    0     0     0 24023 115629  4  4 92  0  0
35  0      0 390641536      0 497208    0    0     0     0 23955 114281  4  4 92  0  0
21  0      0 390647680      0 497224    0    0     0     4 24208 109069  5  4 92  0  0
37  0      0 390654176      0 497244    0    0     0     0 23735 126539  4  4 92  0  0
37  0      0 390653952      0 497264    0    0     0     8 25178 113115  5  3 92  0  0
