procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 390802112      0 306160    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 390793312      0 351580    0    0 45800     0 3326 3813  0  0 99  0  0
 1  0      0 390781760      0 351672    0    0    52   972 6828 4076  0  1 99  0  0
 3  0      0 390707968      0 392324    0    0 41160     4 6937 5364  1  0 98  0  0
 2  0      0 390650048      0 407884    0    0 17248    16 5314 6737  3  0 96  0  0
 3  0      0 390636352      0 422104    0    0 16324    28 4883 6049  2  0 97  0  0
 0  0      0 390600576      0 425892    0    0  3408    48 1897 1537  1  0 98  0  0
22  0      0 390476544      0 433036    0    0  6528   596 9611 37459  3  1 96  0  0
27  0      0 390425568      0 435688    0    0  2664     4 27434 104727  6  3 91  0  0
31  0      0 390426944      0 435720    0    0     0    32 31287 121149  6  4 90  0  0
27  0      0 390434368      0 435796    0    0    84   560 32824 129090  5  4 92  0  0
29  0      0 390440320      0 435908    0    0   100     0 33015 126020  5  4 91  0  0
39  0      0 390445760      0 435972    0    0    60     4 33452 124971  4  4 92  0  0
30  0      0 390449632      0 436084    0    0   104    12 33337 125817  5  4 91  0  0
26  0      0 390452288      0 436088    0    0     0     0 32044 127903  5  4 91  0  0
34  0      0 390455712      0 436164    0    0     0     0 31140 126015  4  4 92  0  0
34  0      0 390459520      0 436172    0    0     0    48 30752 128618  5  4 92  0  0
36  0      0 390464256      0 436176    0    0     0     0 30805 125153  5  4 92  0  0
27  0      0 390474976      0 436220    0    0    32     4 30713 126123  4  4 92  0  0
34  0      0 390480256      0 436300    0    0    76     0 31774 123358  4  4 92  0  0
26  0      0 390489152      0 436308    0    0     4    84 31406 122957  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
24  0      0 390493120      0 436308    0    0     0     0 31565 125936  4  4 92  0  0
15  0      0 390497024      0 436308    0    0     0    44 30775 123463  4  4 92  0  0
32  0      0 390501152      0 436332    0    0    24     0 30266 123640  4  4 92  0  0
24  0      0 390503936      0 436332    0    0     0     4 30693 123398  4  4 92  0  0
17  0      0 390507936      0 436332    0    0     0     0 31213 127254  5  4 92  0  0
17  0      0 390507712      0 436332    0    0     0     4 30320 123890  4  4 92  0  0
30  0      0 390512384      0 436332    0    0     0     0 28742 119965  4  4 92  0  0
36  0      0 390514560      0 436452    0    0    32   232 30647 126501  4  4 92  0  0
24  0      0 390510784      0 436460    0    0     0     0 30662 123060  4  4 92  0  0
15  0      0 390508224      0 436464    0    0     0    80 31458 123977  4  4 92  0  0
13  0      0 390511040      0 436472    0    0     0     8 31721 127385  4  4 92  0  0
 1  0      0 390509312      0 436480    0    0     0     0 30945 124242  4  4 92  0  0
34  0      0 390509792      0 436484    0    0     0     0 30983 124216  4  4 92  0  0
31  0      0 390507904      0 436496    0    0     0    48 31317 126448  4  4 92  0  0
21  0      0 390508352      0 436568    0    0     0     0 30726 123230  4  4 92  0  0
36  0      0 390501728      0 436576    0    0     0   424 29591 123758  4  4 92  0  0
17  0      0 390502112      0 436580    0    0     0     0 31653 125959  4  4 92  0  0
22  0      0 390502528      0 436588    0    0    16   408 32378 121927  4  4 92  0  0
17  0      0 390506272      0 436592    0    0     8   304 31128 123375  4  4 92  0  0
24  0      0 390509248      0 436592    0    0     0   116 30297 124134  4  4 92  0  0
34  0      0 390512352      0 436584    0    0     0     0 31553 126471  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
22  0      0 390518080      0 436584    0    0     0     4 30856 122764  4  4 92  0  0
20  0      0 390514208      0 436584    0    0     0     4 30703 124427  4  4 92  0  0
17  0      0 390513824      0 436584    0    0     0     8 30576 124328  4  4 92  0  0
16  0      0 390514208      0 436584    0    0     0     0 31545 127865  4  4 92  0  0
10  0      0 390513344      0 436584    0    0    16    48 30516 122828  4  4 92  0  0
11  0      0 390507296      0 436584    0    0     0     0 31034 124697  4  4 92  0  0
14  0      0 390509632      0 436584    0    0     0     8 29984 123696  4  4 92  0  0
22  0      0 390511616      0 436732    0    0     0     8 30518 123305  4  4 92  0  0
28  0      0 390506176      0 436740    0    0     0    84 32625 124598  4  4 92  0  0
19  0      0 390512768      0 436748    0    0     0     0 31215 123536  4  4 92  0  0
44  0      0 390518080      0 436756    0    0     0    48 30190 123976  4  4 92  0  0
19  0      0 390513472      0 436760    0    0     0     0 29928 123744  4  4 92  0  0
24  0      0 390516032      0 436736    0    0     4    12 30782 124301  4  4 92  0  0
37  0      0 390515968      0 436812    0    0     0     8 31940 126544  4  4 92  0  0
