procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 390939392      0 419128    0    0     0     4 48550 232442  5  5 90  0  0
 5  0      0 390939040      0 419240    0    0     0    12 45827 238573  5  5 90  0  0
 7  0      0 390944512      0 419268    0    0     0     0 45221 233508  5  5 90  0  0
 8  0      0 390949504      0 419308    0    0     0     0 47186 234904  6  5 89  0  0
 6  0      0 390949440      0 419340    0    0     0     8 45504 230304  5  5 90  0  0
 4  0      0 390950912      0 419408    0    0     0    40 48350 234276  5  5 90  0  0
 7  0      0 390951392      0 419468    0    0     0   216 46239 235839  5  5 90  0  0
 7  0      0 390952608      0 419504    0    0     0    76 47004 237451  5  5 90  0  0
 9  0      0 390954048      0 419544    0    0     0     8 41118 235990  5  5 90  0  0
 7  0      0 390955488      0 419608    0    0     0     0 48774 232177  5  5 90  0  0
 6  0      0 390955104      0 419640    0    0     0     4 47108 229839  5  5 90  0  0
 6  0      0 390955584      0 419680    0    0     0    40 46731 221248  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 390957632      0 419712    0    0     0     4 46017 235447  5  5 90  0  0
 6  0      0 390956704      0 419744    0    0     0     0 45168 238419  5  5 90  0  0
 8  0      0 390959392      0 419788    0    0     0    12 51791 230137  5  5 90  0  0
 8  0      0 390961056      0 419820    0    0     0     0 46734 238528  5  5 90  0  0
 6  0      0 390962272      0 419820    0    0     0    80 47356 244742  5  5 90  0  0
 5  0      0 390965120      0 419892    0    0     0    56 46961 238286  5  5 90  0  0
 7  0      0 390964416      0 419892    0    0     0     8 44319 235724  5  5 90  0  0
 7  0      0 390965184      0 419832    0    0     0     0 42258 233683  5  5 90  0  0
 7  0      0 390966848      0 419896    0    0     0    12 45811 231241  5  5 90  0  0
 6  0      0 390973856      0 420000    0    0     0     0 45889 237370  5  5 90  0  0
 7  0      0 390977280      0 420028    0    0     0     4 49632 233252  5  5 90  0  0
 8  0      0 390980928      0 420064    0    0     0    40 50565 230641  5  5 90  0  0
 7  0      0 390979712      0 420104    0    0     0     4 51431 232673  5  5 90  0  0
