procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 391270112      0 311304    0    0     1     1    0    0  0  0 100  0  0
 3  0      0 391195104      0 371344    0    0 59528     0 9030 7182  5  0 94  1  0
 1  0      0 391089760      0 380848    0    0  9216    48 10019 5469  4  1 95  0  0
 3  0      0 391055008      0 384652    0    0  3948     4 7418 4917  3  0 96  0  0
 4  0      0 390964096      0 390504    0    0  6072    16 5158 4709  4  0 95  0  0
 3  0      0 390972416      0 407348    0    0 18320   104 4748 6619  3  0 97  0  0
 4  0      0 390925120      0 414004    0    0 10852    40 4235 5281  3  0 97  0  0
 2  0      0 390921856      0 414232    0    0   376  1452  840 1256  0  0 100  0  0
30  0      0 390872384      0 416600    0    0  2020    28 6558 13168  5  0 95  0  0
23  0      0 390868928      0 416620    0    0     4     0 8843 26054  6  1 93  0  0
36  0      0 390854848      0 416700    0    0    20     8 9208 25909  7  1 93  0  0
24  0      0 390852832      0 416816    0    0    36    44 9378 27419  7  1 92  0  0
27  0      0 390852832      0 416832    0    0     8     4 9557 28031  7  1 92  0  0
23  0      0 390852224      0 416896    0    0    64   140 9721 37943  6  1 93  0  0
30  0      0 390837376      0 417000    0    0   104    16 9271 34118  6  1 93  0  0
31  0      0 390837600      0 417012    0    0     0    80 10558 33052  6  1 93  0  0
31  0      0 390836864      0 417020    0    0     0     4 10502 33682  6  1 93  0  0
29  0      0 390836864      0 417024    0    0     0    40 10996 35218  6  1 93  0  0
22  0      0 390836096      0 417040    0    0     0    36 12201 38382  7  1 92  0  0
31  0      0 390835840      0 417056    0    0     0    12 12088 38475  6  1 93  0  0
28  0      0 390835840      0 417072    0    0     0     0 12575 40283  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
37  0      0 390835616      0 417148    0    0     0     0 12105 39984  6  1 92  0  0
33  0      0 390836384      0 417160    0    0     0     4 11504 39795  6  1 93  0  0
21  0      0 390836608      0 417164    0    0    16   100 12418 42603  6  1 93  0  0
33  0      0 390835872      0 417172    0    0     0     4 12540 44693  6  1 93  0  0
30  0      0 390833088      0 420136    0    0  3160    44 13772 48006  6  2 93  0  0
