procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 390949568      0 324356    0    0     1     1    0    0  0  0 100  0  0
 3  0      0 390898432      0 378628    0    0 54060     0 7029 6257  3  0 96  0  0
 3  0      0 390809376      0 382204    0    0  3948   980 11268 6384  4  1 95  0  0
 3  0      0 390783456      0 385040    0    0  2436     8 10341 5317  4  1 95  0  0
 2  0      0 390841696      0 400280    0    0 17008    12 5277 6604  3  0 96  0  0
 2  0      0 390816576      0 409796    0    0 13936    32 4404 5755  2  0 97  0  0
 0  0      0 390768672      0 411868    0    0  1940    32 1540 1635  1  0 99  0  0
 6  0      0 390691040      0 413992    0    0  1884   608 4032 8987  3  0 97  0  0
25  0      0 390680608      0 414540    0    0   464     8 9016 25946  6  1 93  0  0
11  0      0 390624160      0 414552    0    0     0     0 8970 25974  7  1 93  0  0
33  0      0 390622912      0 414596    0    0    88     4 9808 29181  7  1 92  0  0
34  0      0 390620672      0 414604    0    0     0    44 10046 29825  7  1 92  0  0
24  0      0 390626560      0 417252    0    0    80    12 10001 30551  6  1 93  0  0
22  0      0 390625568      0 417348    0    0    88    12 9825 32964  6  1 93  0  0
23  0      0 390625568      0 417352    0    0     0     0 10623 32332  6  1 93  0  0
24  0      0 390601632      0 417364    0    0     0     0 10490 32112  6  1 93  0  0
22  0      0 390601632      0 417372    0    0     0     4 11449 35885  6  1 93  0  0
26  0      0 390599872      0 417376    0    0     0    40 12055 37328  6  1 92  0  0
32  0      0 390599872      0 417404    0    0     0     4 12476 76468  6  1 93  0  0
19  0      0 390592320      0 417420    0    0     0     0 12626 40873  6  1 93  0  0
21  0      0 390592064      0 417428    0    0     0    12 12147 41582  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 390591072      0 417432    0    0     0     0 11446 40118  6  1 93  0  0
33  0      0 390590080      0 417512    0    0     0     4 12513 43647  6  1 93  0  0
30  0      0 390585536      0 417516    0    0     0    40 12366 43940  6  1 93  0  0
26  0      0 390585024      0 417528    0    0     0     4 12437 44861  6  1 93  0  0
24  0      0 390584544      0 417544    0    0     0     0 12918 47655  6  2 93  0  0
30  0      0 390584064      0 417560    0    0    32   200 13332 48785  6  2 92  0  0
27  0      0 390581280      0 417576    0    0     0     0 13346 49381  6  2 93  0  0
31  0      0 390581792      0 417584    0    0    28    36 13743 51049  6  2 93  0  0
22  0      0 390581536      0 417592    0    0     0    44 13725 52011  6  2 93  0  0
26  0      0 390580640      0 417600    0    0     0     4 14128 54212  6  2 93  0  0
16  0      0 390577184      0 417620    0    0     0    12 14632 56619  6  2 93  0  0
13  0      0 390576192      0 417712    0    0     0     0 15281 58336  6  2 93  0  0
22  0      0 390575488      0 417716    0    0     0   664 14698 56377  6  2 93  0  0
24  0      0 390574464      0 417728    0    0     0     4 15393 60248  5  2 93  0  0
24  0      0 390573472      0 417740    0    0     0    40 15443 60831  5  2 93  0  0
31  0      0 390573216      0 417756    0    0     0   256 16006 62527  5  2 93  0  0
15  0      0 390572544      0 417772    0    0     0   376 15982 64180  5  2 93  0  0
32  0      0 390571008      0 417784    0    0    44   420 16305 65419  5  2 93  0  0
34  0      0 390570528      0 417792    0    0     0     0 17139 68811  5  2 93  0  0
28  0      0 390568768      0 417808    0    0     0     4 17086 69290  5  2 92  0  0
27  0      0 390566720      0 417792    0    0     0    44 17502 73306  5  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  0      0 390566720      0 417800    0    0     0     4 17949 73730  5  2 92  0  0
44  0      0 390565600      0 417816    0    0     4    56 19297 81287  5  3 92  0  0
41  0      0 390564512      0 417868    0    0     0    12 19547 83160  5  3 92  0  0
33  0      0 390562784      0 417888    0    0    16     0 20248 87653  5  3 92  0  0
26  0      0 390563264      0 417896    0    0     0     4 21152 92852  5  3 92  0  0
34  0      0 390557376      0 417984    0    0     0    40 21275 112361  5  3 92  0  0
29  0      0 390556448      0 418012    0    0     0     8 22706 100017  5  3 92  0  0
26  0      0 390554752      0 418024    0    0     0     0 22122 129277  5  3 92  0  0
37  0      0 390553952      0 418040    0    0     0    16 22256 101138  5  3 92  0  0
28  0      0 390537024      0 418064    0    0     0     0 22437 104862  5  3 92  0  0
27  0      0 390537152      0 418148    0    0     0     8 23154 106694  5  3 92  0  0
33  0      0 390535936      0 418196    0    0     0    40 22397 130422  5  3 92  0  0
30  0      0 390534304      0 418216    0    0     0     4 22409 151124  5  3 92  0  0
31  0      0 390532928      0 418204    0    0     0    12 23929 109080  5  3 92  0  0
26  0      0 390532064      0 418184    0    0     0     0 21550 197216  5  3 92  0  0
31  0      0 390532160      0 418208    0    0     0     0 22386 140351  5  3 92  0  0
30  0      0 390531072      0 418224    0    0     0     4 21822 213804  5  3 92  0  0
24  0      0 390530496      0 418244    0    0     0    60 22433 110426  5  4 92  0  0
20  0      0 390528640      0 418260    0    0     0     4 19980 224733  5  3 92  0  0
15  0      0 390525760      0 418284    0    0     4     0 20462 124386  5  3 92  0  0
31  0      0 390526400      0 418368    0    0     0    12 22732 168798  5  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16  0      0 390525792      0 418388    0    0     0     0 20755 168890  5  3 92  0  0
27  0      0 390524160      0 418408    0    0     0     4 21171 152695  5  4 92  0  0
35  0      0 390522272      0 418424    0    0     0    40 22144 157912  5  4 92  0  0
32  0      0 390516448      0 418440    0    0     0   176 19894 251333  5  3 92  0  0
31  0      0 390512128      0 418464    0    0     0   112 22329 235016  4  4 92  0  0
24  0      0 390512160      0 418480    0    0     0    12 23260 195334  4  4 92  0  0
29  0      0 390509184      0 418500    0    0     0   320 23720 156620  4  4 91  0  0
14  0      0 390502944      0 418524    0    0     0     4 22450 147253  4  4 92  0  0
40  0      0 390501216      0 418544    0    0     0    44 22695 436580  4  4 92  0  0
43  0      0 390501024      0 419120    0    0     0     4 23676 239330  5  4 91  0  0
40  0      0 390498464      0 419136    0    0     0    12 25099 192571  4  4 91  0  0
18  0      0 390498400      0 419148    0    0     0   660 24572 267951  4  4 91  0  0
35  0      0 390496160      0 419196    0    0     0     0 24767 232211  5  4 91  0  0
